country,year,population,real_gdp,real_gdp_pc,vsl,le,hle,wtp_s,wtp_h,wtp,wtp_pc
Netherlands,2016,16.985755187640528,782.037366674046,46.04077699430672,8.10212885687828,81.7693199814519,70.68768608760305,0.08348804998088075,0.013660554899535526,0.0971486048804163,5.719416287778905
Netherlands,2017,17.046767413824952,804.801712034334,47.21139747478684,8.308131417967195,81.81925738524168,70.7283126014659,0.011498114505282264,-0.030856317222353276,-0.01935820271707101,-1.1355937608071944
Netherlands,2018,17.104045196810194,823.8023971368409,48.164185001713825,8.475800337137334,81.82892819484482,70.71827631082849,0.02337513357985182,-0.03267623967056686,-0.009301106090715047,-0.5437956918197134
Netherlands,2019,,,,,,,,,,
New Zealand,1990,3.417314247872356,87.9343545040883,25.73200710436181,4.5282475865128715,75.69302496632994,64.81560313967859,0.07294931247315573,0.015730306081767072,0.0886796185549228,25.950091833121686
New Zealand,1991,3.4522616685479406,86.9754654021165,25.193763901071655,4.433529033219668,76.06396914164776,65.12888762387352,0.032689414103525286,0.0141753692309612,0.046864783334486494,13.575095932458199
New Zealand,1992,3.4927543415035602,87.9273264875608,25.174208630346982,4.430087750652651,76.25272185065279,65.31100452732485,0.03764484607155745,0.012499753094560109,0.05014459916611756,14.356749505758636
New Zealand,1993,3.5361450229102473,93.54713575899159,26.454552953261597,4.655399210680998,76.41450247203355,65.4627214106215,0.0859743183109803,0.013140952883013646,0.09911527119399394,28.02918730760145
New Zealand,1994,3.580273794015251,98.33533499538001,27.465870112994246,4.833368013082819,76.79588120675467,65.77688553966823,0.008248357918754492,0.007300787302891716,0.015549145221646205,4.3430045064257365
New Zealand,1995,3.622740544166442,102.979856692062,28.425954173805366,5.002320956146498,76.89116328591442,65.87132005002064,0.08234210379009593,0.011906380102541745,0.0942484838926377,26.01579736213855
New Zealand,1996,3.660952920270171,106.704531808435,29.14665501914196,5.1291479016800245,77.1481507084012,66.08301573648559,0.10866826905219931,0.015204215682717613,0.12387248473491691,33.83613158449887
New Zealand,1997,3.6926096150391405,108.89170522498699,29.48909215355352,5.189409043422391,77.52198399656831,66.38563906119417,0.14172417268281665,0.017806868834279975,0.15953104151709663,43.20279102003195
New Zealand,1998,3.7219554130758183,109.760015341969,29.489879152330708,5.189547537294981,78.04938432293534,66.81119215906189,0.03263668736189045,0.012686628565935935,0.04532331592782639,12.177286103051747
New Zealand,1999,3.7523585005759226,115.742921599052,30.845379401058683,5.428084729707756,78.17464051516328,66.93662673237372,0.11248312458934302,0.014096724901734532,0.12657984949107753,33.73341045948827
New Zealand,2000,3.7858955180493905,119.105280078105,31.460266008469162,5.536290777712213,78.52180721770598,67.21629590831967,0.05444156970450591,0.011613559363748497,0.0660551290682544,17.44768939167345
