age,population,S,S_new,Sgrad,H,H_new,Hgrad,discount,dH,W,dW,Wgrad,C,Cdot,L,SL,Y,Sav,A,Z,zc,uc,ul,v,q,V,WTP_S,WTP_H,WTP_W,WTP,year,location_name
102,0.0,0.0,0.0,0.0,0.63429509668439,0.6342508058651324,-4.429081925760858e-05,0.13267297885211943,-0.007560777345452043,4.045669252302156,-0.013193821898164817,0.002505655317706079,4724.784191493309,-0.013495153669997748,3738.613576026145,0.7619753458613138,1057.4830184402404,-3667.3011730530684,-1.7772450178199506e-12,3946.325250843035,0.19880753593822809,8.019430502180213e-07,3.2443963403644525e-06,62114.827204677415,-3.6823375266653398,0.0,0.0,0.0,0.0,0.0,1991,Argentina
103,0.0,0.0,0.0,0.0,0.6294627967431249,0.6294310950848648,-3.170165826005267e-05,0.13007154789423472,-0.007618378206807331,3.9918859267054563,-0.01329404907880074,0.0026084099271623806,4660.472628557383,-0.013611534480604396,3762.956976494059,0.7632086346531738,946.2487095570772,-3714.223919000306,-1.7772450178199506e-12,3953.022824446817,0.20084694116907062,8.081114105584795e-07,3.225888567018489e-06,61674.09028608341,-2.487789128819387,0.0,0.0,0.0,0.0,0.0,1991,Argentina
104,0.0,0.0,0.0,0.0,0.6246304968018598,0.6246113843045973,-1.9112497262496753e-05,0.12752112538650462,-0.007676863456057596,3.938411378670257,-0.013395810656175877,0.002709789445173083,4596.485480607838,-0.013729755123430838,3787.5943876468996,0.7644469620157871,836.5406805848744,-3759.944800022964,-1.7772450178199506e-12,3959.8267082260554,0.2029266088077202,8.143755510700062e-07,3.2073459368449738e-06,61233.26798731835,-1.2980462745814911,0.0,0.0,0.0,0.0,0.0,1991,Argentina
105,0.0,0.0,0.0,0.0,0.6197981968605947,0.6197916735243297,-6.523336264940838e-06,0.12502071116323982,-0.007736253618750173,3.8852462036745727,-0.013499142137263087,0.0028097896978804826,4532.8248064292975,-0.013849858646811687,3812.531385618781,0.7656903665326,728.3617223327641,-3804.4630840965333,-1.7772450178199506e-12,3966.7390548280373,0.20504767196809928,8.207377223285902e-07,3.18876811988967e-06,60792.35673418972,-0.11308827373130526,0.0,0.0,0.0,0.0,0.0,1991,Argentina
106,0.0,0.0,0.0,0.0,0.6149658969193297,0.6149719627440622,6.065824732504055e-06,0.12256932466984297,-0.007796569860547494,3.832391002983037,-0.013604080133080561,0.0029084064559978806,4469.492679362609,-0.013971889444493697,3837.7736950774893,0.7669388872863101,621.7146314322129,-3847.7780479303965,-1.7772450178199506e-12,3973.762076751721,0.20721130510930685,8.272002460229078e-07,3.170154780523546e-06,60351.35288320808,1.0671062602982373,0.0,0.0,0.0,0.0,0.0,1991,Argentina
107,0.0,0.0,0.0,0.0,0.6101335969780646,0.6101522519637947,1.8654985730170992e-05,0.12016600457827742,-0.007857834012377763,3.779846383748911,-0.013710662401938238,0.003005635433577236,4406.491187411188,-0.014095893308500982,3863.3271943761292,0.768192563868914,516.6022100942057,-3889.888977316982,-1.7772450178199506e-12,3980.8980484835365,0.2094187258911455,8.33765517786671e-07,3.151505577300486e-06,59910.25271992425,2.242559431548835,0.0,0.0,0.0,0.0,0.0,1991,Argentina
108,0.0,0.0,0.0,0.0,0.6053012970367995,0.6053325411835272,3.124414672772691e-05,0.11780980841007589,-0.007920068596777888,3.7276129591187206,-0.013818927894732163,0.00310147228671509,4343.822433347615,-0.014221917484507919,3889.197920925846,0.769451436392044,413.02726585411324,-3930.795167493501,-1.7772450178199506e-12,3988.14930872661,0.21167119712865165,8.404360101674777e-07,3.132820162810323e-06,59469.0524572151,3.413294083242417,0.0,0.0,0.0,0.0,0.0,1991,Argentina
109,0.0,0.0,0.0,0.0,0.6004689970955344,0.6005128304032596,4.383330772528282e-05,0.11549981216674106,-0.007983296855501905,3.6756913483395914,-0.013928916802404406,0.0031959126122464987,4281.4885348204425,-0.01435001072986635,3915.392076800966,0.7707155454976022,310.9926113036693,-3970.495923516773,-1.7772450178199506e-12,3995.518262728305,0.21397002885176414,8.472142757399054e-07,3.1140981835269636e-06,59027.748233516104,4.5793338204854495,0.0,0.0,0.0,0.0,0.0,1991,Argentina
110,0.0,0.0,0.0,0.0,0.5956366971542694,0.5956931196229921,5.6422468722727714e-05,0.1132351099673932,-0.008047542778459515,3.624082176869383,-0.014040670605686607,0.0032889519463799033,4219.491624461183,-0.014480223374429719,3941.916034588559,0.7719849323687054,210.50106380950146,-4008.990560651682,-1.7772450178199506e-12,4003.007384711219,0.21631658047669558,8.541029503710881e-07,3.0953392796514155e-06,58586.336110998855,5.740703033604657,0.0,0.0,0.0,0.0,0.0,1991,Argentina
111,0.0,0.0,0.0,0.0,0.5908043972130043,0.5908734088427245,6.901162972028363e-05,0.11101481369352273,-0.00811283113406551,3.5727860764897175,-0.014154232127257438,0.003380585763292032,4157.833849991434,-0.014612607384336923,3968.7763434951735,0.773259638740951,111.55544521754179,-4046.2784047738924,-1.7772450178199506e-12,4010.6192204130875,0.21871226309604025,8.611047566475693e-07,3.0765430849495016e-06,58144.81207369092,6.8974269224465425,0.0,0.0,0.0,0.0,0.0,1991,Argentina
