"location_name","year","age_name","population"
"Mexico",1990,"45 to 49",3062947.02787248
"Mexico",1990,"50 to 54",2488224.4342348
"Mexico",1990,"55 to 59",2027233.53909253
"Mexico",1990,"60 to 64",1623562.43375412
"Mexico",1990,"65 to 69",1223308.41778971
"Mexico",1990,"70 to 74",857071.361494292
"Mexico",1990,"75 to 79",596522.031477732
"Mexico",1990,"0 to 0",2413917.33717222
"Mexico",1990,"80 to 84",408378.720036656
"Mexico",1990,"85 to 89",187999.288851889
"Mexico",1990,"90 to 94",41205.7630410208
"Mexico",1990,"95 to 99",7956.10931294953
"Brazil",1990,"1 to 4",13610718.964724
"Brazil",1990,"5 to 9",18037477.4120906
"Brazil",1990,"10 to 14",17295940.7941902
"Brazil",1990,"15 to 19",15288933.913092
"Brazil",1990,"20 to 24",13993243.8004731
"Brazil",1990,"25 to 29",12865796.1169858
"Brazil",1990,"30 to 34",11124772.9568097
"Brazil",1990,"35 to 39",9477401.9157183
"Brazil",1990,"40 to 44",7752388.12678069
"Brazil",1990,"45 to 49",6143656.93803546
"Brazil",1990,"50 to 54",5163309.38616846
"Brazil",1990,"55 to 59",4271204.57047556
"Brazil",1990,"60 to 64",3575826.73889651
"Brazil",1990,"65 to 69",2677314.33211489
"Brazil",1990,"70 to 74",1892396.57296223
"Brazil",1990,"75 to 79",1278807.88470264
"Brazil",1990,"0 to 0",3327460.33571548
"Brazil",1990,"80 to 84",685976.114944066
"Brazil",1990,"85 to 89",282432.79682767
"Brazil",1990,"90 to 94",73563.6295221766
"Brazil",1990,"95 to 99",16894.7649151361
"Iran (Islamic Republic of)",1990,"1 to 4",7407490.80560973
"Iran (Islamic Republic of)",1990,"5 to 9",9213065.60761037
"Iran (Islamic Republic of)",1990,"10 to 14",7554092.51183922
"Iran (Islamic Republic of)",1990,"15 to 19",6154838.18499833
"Iran (Islamic Republic of)",1990,"20 to 24",5490753.53484166
"Iran (Islamic Republic of)",1990,"25 to 29",4464805.13280493
"Iran (Islamic Republic of)",1990,"30 to 34",3635296.21600323
"Iran (Islamic Republic of)",1990,"35 to 39",2847774.8009156
"Iran (Islamic Republic of)",1990,"40 to 44",2194883.72466993
"Iran (Islamic Republic of)",1990,"45 to 49",1649054.53569393
