"Code","Country","Year","GDP"
"CHN","China",2010,12158377.4277246
"CHN","China",2011,13319603.6516575
"CHN","China",2039,46436270
"CHN","China",2012,14367022.1790085
"CHN","China",2013,15482786.6863306
"CHN","China",2003,5800464.97886181
"CHN","China",2004,6387102.04510339
"CHN","China",2044,50481210
"CHN","China",2045,51216270
"CHN","China",2046,51936040
"CHN","China",2033,40435560
"CHN","China",1990,1654607.17781956
"CHN","China",1991,1806482.52330527
"CHN","China",1992,2063738.39561648
"CHN","China",1993,2350262.24792404
"CHN","China",2051,55481590
"CHN","China",2024,29596430
"CHN","China",2025,30847740
"CHN","China",2042,48947850
"CHN","China",2043,49726360
"CHN","China",2029,35776690
"CHN","China",2030,36976710
"CHN","China",2031,38155280
"CHN","China",2032,39309470
"CHN","China",2019,22980559.6147621
"CHN","China",2020,23509112.4859016
"CHN","China",2021,25514667.1525193
"CHN","China",2050,54765280
"CHN","China",2023,28326230
"CHN","China",2015,17796776.9619942
"CHN","China",2016,19006957.7954098
"CHN","China",2052,56205480
"CHN","China",2014,16632501.8336394
"CHN","China",2056,59150730
"CHN","China",2057,59894050
"CHN","China",2017,20318437.8832931
"CHN","China",2018,21679773.2214737
"CHN","China",2060,62139790
"CHN","China",2028,34558960
"CHN","China",2058,60640270
"CHN","China",2022,26995184.572743
"CHN","China",2027,33328160
"CHN","China",2053,56936110
"CHN","China",2026,32090550
"CHN","China",2055,58410030
"CHN","China",2054,57671560
"CHN","China",2059,61389070
"COL","Colombia",2042,1088928
"COL","Colombia",1996,332214.307982677
"COL","Colombia",1997,342826.950995207
"COL","Colombia",2004,382632.54923633
"COL","Colombia",2005,400641.375779744
"COL","Colombia",2006,427551.930850955
"COL","Colombia",2041,1074808
"COL","Colombia",1995,327021.044383009
"COL","Colombia",2036,998151.7
"COL","Colombia",2037,1014405
"COL","Colombia",1998,344898.505392289
"COL","Colombia",1999,326994.853982463
"COL","Colombia",2000,335395.998436733
"COL","Colombia",2001,341023.701801128
"COL","Colombia",2002,349562.468704538
"COL","Colombia",2003,363260.10001443
"COL","Colombia",1990,259317.081644382
"COL","Colombia",1991,266550.008608349
"COL","Colombia",1992,278074.603549233
"COL","Colombia",1993,293999.351971894
"COL","Colombia",1994,310486.282729625
"COL","Colombia",2051,1201614
"COL","Colombia",2052,1212478
"COL","Colombia",2038,1030161
"COL","Colombia",2039,1045456
"COL","Colombia",2040,1060325
"COL","Colombia",2043,1102707
"COL","Colombia",2044,1116164
"COL","Colombia",2045,1129315
"COL","Colombia",2046,1142176
"COL","Colombia",2047,1154731
"COL","Colombia",2048,1166967
"COL","Colombia",2049,1178864
"COL","Colombia",2050,1190411
"COL","Colombia",2033,946115.1
"COL","Colombia",2034,964033.2
"COL","Colombia",2035,981370.2
"COL","Colombia",2053,1223014
"COL","Colombia",2054,1233239
"COL","Colombia",2025,782222.5
"COL","Colombia",2026,804690.9
"COL","Colombia",2027,826558.3
"COL","Colombia",2028,847840.3
"COL","Colombia",2029,868597.5
"COL","Colombia",2030,888825.8
"COL","Colombia",2031,908503.9
"COL","Colombia",2032,927604.4
"COL","Colombia",2019,686365.451812384
"COL","Colombia",2007,456361.212356437
"COL","Colombia",2008,471345.587178693
"COL","Colombia",2022,713011.200183336
"COL","Colombia",2023,736483.2
"COL","Colombia",2024,759412.1
"COL","Colombia",2055,1243187
"COL","Colombia",2056,1252909
"COL","Colombia",2057,1262436
"COL","Colombia",2058,1271824
"COL","Colombia",2059,1281148
"COL","Colombia",2060,1290494
"COL","Colombia",2017,647945.035417535
