LE,HLE,param1,param2,dLE,WTP,WTP_1y
82.75,82.74,0.1122012980115006,3.197783641596963e12,207.9024990754,2.6808199133156978e7,128946.01677411511
82.76,82.75,0.11224942221095378,3.197783641596963e12,207.6888789596,2.67737674290193e7,128912.86025106514
82.77,82.76,0.11229759592565612,3.197783641596963e12,207.4753344408,2.6739359338424798e7,128879.70230530934
82.78,82.77,0.11234581924002071,3.197783641596963e12,207.261865558,2.6704974862195283e7,128846.54294845273
82.79,82.78,0.11239409223865877,3.197783641596963e12,207.0484723495,2.66706140010906e7,128813.38219231255
82.8,82.79,0.11244241500637983,3.197783641596963e12,206.8351548534,2.663627675588893e7,128780.22004899559
82.81,82.8,0.11249078762819231,3.197783641596963e12,206.6219131085,2.660196312732991e7,128747.05653006346
82.82,82.81,0.11253921018930393,3.197783641596963e12,206.4087471534,2.6567673116148394e7,128713.89164725506
82.83,82.82,0.1125876827751229,3.197783641596963e12,206.195657026,2.6533406723057885e7,128680.72541271898
82.84,82.83,0.11263620547125806,3.197783641596963e12,205.9826427647,2.649916394876393e7,128647.55783833058
82.85,82.84,0.11268477836351948,3.197783641596963e12,205.7697044081,2.6464944793939177e7,128614.38893575725
82.86,82.85,0.11273340153791918,3.197783641596963e12,205.5568419939,2.6430749259263948e7,128581.21871734287
82.87,82.86,0.11278207508067216,3.197783641596963e12,205.3440555611,2.6396577345372036e7,128548.04719446944
82.88,82.87,0.11283079907819596,3.197783641596963e12,205.1313451475,2.6362429052925102e7,128514.87437948187
82.89,82.88,0.11287957361711258,3.197783641596963e12,204.9187107911,2.6328304382525213e7,128481.7002843876
82.9,82.89,0.1129283987842478,3.197783641596963e12,204.7061525314,2.6294203334778383e7,128448.52492034943
82.91,82.9,0.1129772746666329,3.197783641596963e12,204.4936704054,2.626012591027108e7,128415.3483000794
82.92,82.91,0.11302620135150492,3.197783641596963e12,204.281264452,2.6226072109580696e7,128382.17043513083
82.93,82.92,0.11307517892630674,3.197783641596963e12,204.0689347085,2.6192041933254573e7,128348.99133799225
82.94,82.93,0.11312420747868851,3.197783641596963e12,203.8566812138,2.6158035381836344e7,128315.81102020603
82.95,82.94,0.11317328709650767,3.197783641596963e12,203.6445040071,2.6124052455858886e7,128282.6294931489
82.96,82.95,0.11322241786783019,3.197783641596963e12,203.4324031246,2.6090093155810013e7,128249.4467699432
82.97,82.96,0.1132715998809306,3.197783641596963e12,203.2203786057,2.6056157482193485e7,128216.26286185185
82.98,82.97,0.11332083322429318,3.197783641596963e12,203.0084304879,2.602224543548197e7,128183.07778125985
82.99,82.98,0.11337011798661187,3.197783641596963e12,202.7965588102,2.5988357016144373e7,128149.89153966475
83.0,82.99,0.11341945425679179,3.197783641596963e12,202.5847636098,2.5954492224599686e7,128116.7041495323
83.01,83.0,0.11346884212394909,3.197783641596963e12,202.3730449252,2.592065106129268e7,128083.51562271215
83.02,83.01,0.11351828167741229,3.197783641596963e12,202.1614027937,2.588683352664523e7,128050.32597177815
83.03,83.02,0.11356777300672229,3.197783641596963e12,201.9498372554,2.5853039621022075e7,128017.13520732625
83.04,83.03,0.11361731620163369,3.197783641596963e12,201.7383483463,2.581926934483468e7,127983.94334285836
83.05,83.04,0.11366691135211461,3.197783641596963e12,201.5269361047,2.578552269842451e7,127950.75039015165
83.06,83.05,0.11371655854834864,3.197783641596963e12,201.3156005702,2.5751799682138752e7,127917.556360263
83.07,83.06,0.11376625788073337,3.197783641596963e12,201.1043417796,2.5718100296319563e7,127884.36126607985
83.08,83.07,0.1138160094398838,3.197783641596963e12,200.8931597708,2.5684424541279167e7,127851.16511972161
83.09,83.08,0.1138658133166306,3.197783641596963e12,200.6820545821,2.565077241731225e7,127817.96793304403
83.1,83.09,0.1139156696020221,3.197783641596963e12,200.4710262511,2.561714392470086e7,127784.7697183637
83.11,83.1,0.11396557838732457,3.197783641596963e12,200.2600748165,2.5583539063722618e7,127751.57048735266
83.12,83.11,0.11401553976402308,3.197783641596963e12,200.0492003151,2.5549957834610905e7,127718.37025275207
83.13,83.12,0.11406555382382168,3.197783641596963e12,199.8384027866,2.5516400237614665e7,127685.16902560856
83.14,83.13,0.11411562065864485,3.197783641596963e12,199.6276822672,2.5482866272949055e7,127651.96681911305
83.15,83.14,0.11416574036063745,3.197783641596963e12,199.4170387963,2.54493559408156e7,127618.76364442229
83.16,83.15,0.1142159130221656,3.197783641596963e12,199.2064724102,2.5415869241404124e7,127585.55951469552
83.17,83.16,0.11426613873581801,3.197783641596963e12,198.9959831483,2.538240617487983e7,127552.35444106333
83.18,83.17,0.11431641759440561,3.197783641596963e12,198.7855710469,2.534896674140263e7,127519.14843669404
83.19,83.18,0.1143667496909628,3.197783641596963e12,198.5752361449,2.5315550941116974e7,127485.9415130911
83.2,83.19,0.11441713511874851,3.197783641596963e12,198.3649784807,2.5282158774130687e7,127452.73368197161
83.21,83.2,0.11446757397124625,3.197783641596963e12,198.1547980908,2.5248790240550265e7,127419.52495634535
83.22,83.21,0.11451806634216471,3.197783641596963e12,197.9446950136,2.5215445340479307e7,127386.31534806655
83.23,83.22,0.1145686123254395,3.197783641596963e12,197.7346692869,2.5182124073990233e7,127353.10486929648
83.24,83.23,0.11461921201523238,3.197783641596963e12,197.5247209489,2.5148826441140078e7,127319.89353193984
83.25,83.24,0.11466986550593368,3.197783641596963e12,197.314850037,2.5115552441973627e7,127286.68134843382
83.26,83.25,0.11472057289216084,3.197783641596963e12,197.1050565881,2.5082302076505616e7,127253.4683314661
83.27,83.26,0.11477133426876167,3.197783641596963e12,196.8953406413,2.504907534476082e7,127220.25449243476
83.28,83.27,0.11482214973081276,3.197783641596963e12,196.6857022338,2.5015872246731646e7,127187.03984387903
83.29,83.28,0.1148730193736216,3.197783641596963e12,196.4761414033,2.498269278239032e7,127153.82439799233
83.3,83.29,0.11492394329272669,3.197783641596963e12,196.2666581877,2.494953695170682e7,127120.60816690669
83.31,83.3,0.11497492158389909,3.197783641596963e12,196.0572526246,2.4916404754619464e7,127087.39116286644
83.32,83.31,0.11502595434314158,3.197783641596963e12,195.8479247511,2.4883296191067174e7,127054.17339852315
83.33,83.32,0.1150770416666909,3.197783641596963e12,195.6386746057,2.4850211260965295e7,127020.95488558005
83.34,83.33,0.11512818365101767,3.197783641596963e12,195.4295022265,2.481714996421266e7,126987.73563599387
83.35,83.34,0.11517938039282756,3.197783641596963e12,195.2204076495,2.4784112300680507e7,126954.51566302466
83.36,83.35,0.1152306319890618,3.197783641596963e12,195.0113909135,2.4751098270247668e7,126921.29497823211
83.37,83.36,0.11528193853689767,3.197783641596963e12,194.8024520556,2.4718107872766055e7,126888.07359422291
83.38,83.37,0.11533330013374975,3.197783641596963e12,194.5935911144,2.468514110805534e7,126854.85152254137
83.39,83.38,0.11538471687727041,3.197783641596963e12,194.3848081258,2.4652197975951582e7,126821.62877665533
83.4,83.39,0.11543618886535059,3.197783641596963e12,194.1761031292,2.4619278476257723e7,126788.40536766083
83.41,83.4,0.11548771619612044,3.197783641596963e12,193.9674761611,2.458638260875231e7,126755.18130849964
83.42,83.41,0.11553929896795054,3.197783641596963e12,193.7589272591,2.4553510373199563e7,126721.9566114025
83.43,83.42,0.11559093727945158,3.197783641596963e12,193.5504564608,2.4520661769375455e7,126688.731288741
83.44,83.43,0.11564263122947646,3.197783641596963e12,193.3420638043,2.4487836797004797e7,126655.50535237524
83.45,83.44,0.11569438091712016,3.197783641596963e12,193.1337493259,2.4455035455815643e7,126622.27881544123
83.46,83.45,0.1157461864417208,3.197783641596963e12,192.9255130647,2.442225774551124e7,126589.05168919225
83.47,83.46,0.1157980479028606,3.197783641596963e12,192.7173550569,2.4389503665790424e7,126555.82398684019
83.48,83.47,0.11584996540036607,3.197783641596963e12,192.5092753401,2.4356773216318645e7,126522.59572058702
83.49,83.48,0.11590193903430923,3.197783641596963e12,192.3012739523,2.432406639676664e7,126489.3669024792
83.5,83.49,0.11595396890500868,3.197783641596963e12,192.093350932,2.4291383206767105e7,126456.13754411585
83.51,83.5,0.11600605511302954,3.197783641596963e12,191.8855063142,2.425872364595855e7,126422.90765951063
83.52,83.51,0.11605819775918473,3.197783641596963e12,191.6777401377,2.422608771394475e7,126389.6772600767
83.53,83.52,0.1161103969445362,3.197783641596963e12,191.4700524399,2.4193475410327293e7,126356.44635821738
83.54,83.53,0.11616265277039489,3.197783641596963e12,191.2624432578,2.4160886734672453e7,126323.21496649674
83.55,83.54,0.11621496533832149,3.197783641596963e12,191.0549126296,2.4128321686560232e7,126289.98309683897
83.56,83.55,0.11626733475012861,3.197783641596963e12,190.8474605914,2.4095780265540246e7,126256.75076247807
83.57,83.56,0.11631976110787956,3.197783641596963e12,190.6400871817,2.4063262471130975e7,126223.51797497952
83.58,83.57,0.11637224451389104,3.197783641596963e12,190.4327924378,2.4030768302858055e7,126190.28474682
83.59,83.58,0.11642478507073241,3.197783641596963e12,190.2255763963,2.3998297760214258e7,126157.05109084921
83.6,83.59,0.11647738288122753,3.197783641596963e12,190.0184390951,2.3965850842694923e7,126123.81701915017
83.61,83.6,0.1165300380484553,3.197783641596963e12,189.8113805715,2.393342754976558e7,126090.58254412781
83.62,83.61,0.11658275067575011,3.197783641596963e12,189.6044008622,2.3901027880868264e7,126057.34767854342
83.63,83.62,0.1166355208667034,3.197783641596963e12,189.3975000056,2.386865183545235e7,126024.11243414838
83.64,83.63,0.1166883487251635,3.197783641596963e12,189.190678038,2.383629941293736e7,125990.87682401408
83.65,83.64,0.11674123435523723,3.197783641596963e12,188.9839349972,2.380397061272224e7,125957.64086018698
83.66,83.65,0.11679417786129061,3.197783641596963e12,188.7772709204,2.3771665434197545e7,125924.40455514968
83.67,83.66,0.11684717934794919,3.197783641596963e12,188.5706858448,2.373938387674509e7,125891.16792142019
83.68,83.67,0.11690023892009965,3.197783641596963e12,188.3641798072,2.3707125939711895e7,125857.93097168105
83.69,83.68,0.11695335668288996,3.197783641596963e12,188.1577528458,2.3674891622442514e7,125824.69371774801
83.7,83.69,0.11700653274173071,3.197783641596963e12,187.9514049967,2.3642680924273927e7,125791.45617288169
83.71,83.7,0.11705976720229577,3.197783641596963e12,187.7451362977,2.361049384450324e7,125758.21834907627
