LE,HLE,param1,param2,dLE,WTP,WTP_1y
71.3,71.29,0.6935678443343317,0.000445379752454269,-14.8526045444,-2.182885134489174e6,146969.85488058423
71.31,71.3,0.692894889542624,0.0004451296183265288,-14.8670785594,-2.1845649319122853e6,146939.75841884897
71.32,71.31,0.6922225899118086,0.00044487963356316414,-14.8815665922,-2.1862459483363037e6,146909.6640324278
71.33,71.32,0.6915509448001116,0.0004446297980689334,-14.8960686565,-2.1879281846570447e6,146879.57172527714
71.34,71.33,0.6908799535663965,0.0004443801117452725,-14.9105847657,-2.1896116417746274e6,146849.48150468012
71.35,71.34,0.6902096155701641,0.0004441305744933406,-14.9251149335,-2.1912963205859773e6,146819.3933748227
71.36,71.35,0.6895399301715448,0.0004438811862181727,-14.9396591735,-2.192982221993584e6,146789.30734132815
71.37,71.36,0.6888708967313066,0.0004436319468192669,-14.9542174994,-2.194669346894308e6,146759.22340853765
71.38,71.37,0.6882025146108489,0.00044338285619999727,-14.9687899246,-2.1963576961945593e6,146729.1415844525
71.39,71.38,0.6875347831722037,0.000443133914265122,-14.9833764629,-2.1980472707912046e6,146699.06187258524
71.4,71.39,0.6868677017780349,0.0004428851209155235,-14.9979771279,-2.19973807159029e6,146668.98427910157
71.41,71.4,0.6862012697916398,0.0004426364760526376,-15.0125919334,-2.2014300994936014e6,146638.90880800283
71.42,71.41,0.6855354865769392,0.0004423879795817764,-15.0272208928,-2.203123355405665e6,146608.83546745815
71.43,71.42,0.684870351498495,0.0004421396314032685,-15.0418640201,-2.204817840232566e6,146578.76425995692
71.44,71.43,0.6842058639214871,0.00044189143142131846,-15.0565213288,-2.206513554878122e6,146548.6951927946
71.45,71.44,0.6835420232117307,0.0004416433795395772,-15.0711928327,-2.208210500249299e6,146518.62827062633
71.46,71.45,0.6828788287356671,0.0004413954756605881,-15.0858785455,-2.2099086772527588e6,146488.5634991379
71.47,71.46,0.6822162798603641,0.0004411477196868946,-15.1005784809,-2.2116080867987974e6,146458.5008843307
71.48,71.47,0.6815543759535181,0.0004409001115217323,-15.1152926528,-2.213308729793785e6,146428.4404300823
71.49,71.48,0.6808931163834498,0.0004406526510694443,-15.1300210749,-2.2150106071472196e6,146398.38214249542
71.5,71.49,0.6802325005191072,0.0004404053382335431,-15.144763761,-2.2167137197690974e6,146368.32602681214
71.51,71.5,0.6795725277300594,0.0004401581729164335,-15.1595207248,-2.21841806857025e6,146338.2720893716
71.52,71.51,0.6789131973865057,0.00043991115502176655,-15.1742919802,-2.220123654462493e6,146308.22033472112
71.53,71.52,0.6782545088592643,0.0004396642844531932,-15.1890775411,-2.221830478358989e6,146278.17076757667
71.54,71.53,0.6775964615197761,0.00043941756111491777,-15.2038774211,-2.2235385411708327e6,146248.12339548313
71.55,71.54,0.676939054740108,0.00043917098490893025,-15.2186916343,-2.2252478438123865e6,146218.07822146197
71.56,71.55,0.6762822878929434,0.00043892455574275763,-15.2335201945,-2.22695838719993e6,146188.03525162648
71.57,71.56,0.6756261603515935,0.00043867827351520546,-15.2483631155,-2.228670172245819e6,146157.99449190518
71.58,71.57,0.6749706714899827,0.00043843213813449315,-15.2632204113,-2.2303831998679885e6,146127.95594675042
71.59,71.58,0.674315820682659,0.0004381861495030256,-15.2780920957,-2.232097470983083e6,146097.919622523
71.6,71.59,0.6736616073047933,0.00043794030752210023,-15.2929781827,-2.2338129865078293e6,146067.88552374995
71.61,71.6,0.673008030732163,0.00043769461210284343,-15.3078786862,-2.2355297473600865e6,146037.85365606594
71.62,71.61,0.672355090341178,0.0004374490631419845,-15.3227936201,-2.2372477544599217e6,146007.82402532423
71.63,71.62,0.6717027855088578,0.00043720366054732717,-15.3377229984,-2.238967008725398e6,145977.7966363692
71.64,71.63,0.6710511156128359,0.00043695840422446037,-15.3526668352,-2.240687511077392e6,145947.7714933558
71.65,71.64,0.6704000800313665,0.00043671329407620455,-15.3676251442,-2.242409262440714e6,145917.74860457453
71.66,71.65,0.6697496781433222,0.00043646833000538,-15.3825979397,-2.2441322637318303e6,145887.7279721449
71.67,71.66,0.669099909328182,0.0004362235119197904,-15.3975852356,-2.2458565158758643e6,145857.70960262846
71.68,71.67,0.6684507729660443,0.00043597883972225625,-15.4125870458,-2.2475820197984055e6,145827.69350268692
71.69,71.68,0.6678022684376216,0.000435734313317951,-15.4276033846,-2.2493087764185267e6,145797.67967484897
71.7,71.69,0.6671543951242362,0.0004354899326114949,-15.4426342658,-2.251036786664118e6,145767.66812702236
71.71,71.7,0.6665071524078274,0.0004352456975066768,-15.4576797036,-2.2527660514632366e6,145737.65886341798
71.72,71.71,0.6658605396709393,0.0004350016079114394,-15.4727397121,-2.2544965717381816e6,145707.65188889718
71.73,71.72,0.6652145562967334,0.00043475766372708005,-15.4878143053,-2.2562283484195936e6,145677.6472098779
71.74,71.73,0.6645692016689789,0.00043451386486154125,-15.5029034974,-2.2579613824323574e6,145647.64483059844
71.75,71.74,0.6639244751720549,0.00043427021121888873,-15.5180073025,-2.259695674705469e6,145617.64475658064
71.76,71.75,0.6632803761909505,0.00043402670270401987,-15.5331257347,-2.261431226169182e6,145587.6469935018
71.77,71.76,0.6626369041112637,0.0004337833392214158,-15.5482588081,-2.26316803775418e6,145557.65154714065
71.78,71.77,0.6619940583191983,0.0004335401206799879,-15.563406537,-2.2649061103908173e6,145527.65842145766
71.79,71.78,0.6613518382015673,0.0004332970469817258,-15.5785689356,-2.266645445010974e6,145497.66762152698
71.8,71.79,0.6607102431457922,0.0004330541180308344,-15.5937460179,-2.2683860425485154e6,145467.67915449207
71.81,71.8,0.660069272539897,0.00043281133373760896,-15.6089377982,-2.270127903933366e6,145437.69302451535
71.82,71.81,0.6594289257725134,0.0004325686940034858,-15.6241442908,-2.271871030100224e6,145407.70923614517
71.83,71.82,0.6587892022328762,0.00043232619873820663,-15.6393655099,-2.273615421987832e6,145377.72779519684
71.84,71.83,0.6581501013108284,0.0004320838478437614,-15.6546014696,-2.275361080526407e6,145347.74870794243
71.85,71.84,0.6575116223968147,0.00043184164122656927,-15.6698521844,-2.277108006654881e6,145317.77197757093
71.86,71.85,0.65687376488188,0.00043159957879415747,-15.6851176683,-2.2788562013100153e6,145287.7976118495
71.87,71.86,0.6562365281576743,0.0004313576604515612,-15.7003979358,-2.2806056654292988e6,145257.8256140291
71.88,71.87,0.655599911616453,0.00043111588610436955,-15.7156930011,-2.282356399952298e6,145227.85599034972
71.89,71.88,0.6549639146510638,0.0004308742556609399,-15.7310028786,-2.284108405818234e6,145197.88874525405
71.9,71.89,0.6543285366549659,0.0004306327690240926,-15.7463275826,-2.2858616839629863e6,145167.92388397333
71.91,71.9,0.6536937770222117,0.00043039142610135474,-15.7616671273,-2.2876162353320215e6,145137.96141334283
71.92,71.91,0.6530596351474512,0.0004301502268024681,-15.7770215273,-2.289372060865713e6,145108.0013362639
71.93,71.92,0.6524261104259419,0.0004299091710277613,-15.7923907968,-2.2911291615075837e6,145078.04365959798
71.94,71.93,0.6517932022535314,0.00042966825868753,-15.8077749503,-2.292887538197442e6,145048.08838728612
71.95,71.94,0.6511609100266686,0.0004294274896881937,-15.823174002,-2.2946471918812366e6,145018.13552648795
71.96,71.95,0.6505292331424006,0.00042918686393451076,-15.8385879665,-2.2964081235045507e6,144988.18508074424
71.97,71.96,0.6498981709983664,0.000428946381334562,-15.8540168582,-2.2981703340107063e6,144958.23705536485
71.98,71.97,0.6492677229928047,0.00042870604179532046,-15.8694606916,-2.2999338243465275e6,144928.29145504138
71.99,71.98,0.6486378885245506,0.00042846584522154477,-15.8849194809,-2.301698595460397e6,144898.34828737756
72.0,71.99,0.6480086669930275,0.00042822579152408425,-15.9003932408,-2.303464648297062e6,144868.40755525662
72.01,72.0,0.6473800577982609,0.000427985880605759,-15.9158819857,-2.3052319838089366e6,144838.46926485925
72.02,72.01,0.6467520603408662,0.0004277461123749267,-15.9313857302,-2.307000602941643e6,144808.5334201924
72.03,72.02,0.6461246740220485,0.0004275064867399452,-15.9469044886,-2.308770506646404e6,144778.60002841806
72.04,72.03,0.6454978982436101,0.0004272670036064032,-15.9624382757,-2.310541695874496e6,144748.66909223315
72.05,72.04,0.6448717324079435,0.0004270276628812741,-15.9779871058,-2.312314171579416e6,144718.7406190888
72.06,72.05,0.6442461759180299,0.00042678846447457636,-15.9935509935,-2.31408793470735e6,144688.8146133293
72.07,72.06,0.6436212281774457,0.00042654940828968453,-16.0091299534,-2.3158629862193037e6,144658.89108030283
72.08,72.07,0.642996888590352,0.0004263104942377245,-16.0247240002,-2.31763932706256e6,144628.97002367306
72.09,72.08,0.6423731565615026,0.00042607172222317794,-16.0403331483,-2.319416958195662e6,144599.05145059162
72.1,72.09,0.6417500314962405,0.0004258330921546792,-16.0559574125,-2.321195880573194e6,144569.1353644274
72.11,72.1,0.6411275128004928,0.0004255946039419702,-16.0715968072,-2.3229760951503757e6,144539.2217722693
72.12,72.11,0.6405055998807772,0.0004253562574892556,-16.0872513472,-2.324757602885388e6,144509.31067786258
72.13,72.12,0.6398842921442003,0.00042511805270572373,-16.1029210471,-2.3265404047355372e6,144479.40208677403
72.14,72.13,0.6392635889984503,0.00042487998950000886,-16.1186059215,-2.3283245016577924e6,144449.4960046221
72.15,72.14,0.6386434898518029,0.0004246420677790843,-16.1343059852,-2.330109894612572e6,144419.59243552104
72.16,72.15,0.6380239941131217,0.0004244042874510307,-16.1500212529,-2.331896584562108e6,144389.69138467096
72.17,72.16,0.6374051011918511,0.0004241666484244829,-16.1657517392,-2.333684572464835e6,144359.7928580043
72.18,72.17,0.6367868104980209,0.00042392915060669056,-16.1814974589,-2.335473859283917e6,144329.89686003263
72.19,72.18,0.6361691214422464,0.00042369179390545794,-16.1972584267,-2.337264445979151e6,144300.00339602787
72.2,72.19,0.6355520334357216,0.0004234545782308036,-16.2130346573,-2.339056333517386e6,144270.11247177064
72.21,72.2,0.6349355458902257,0.0004232175034894239,-16.2288261656,-2.340849522860721e6,144240.22409104268
72.22,72.21,0.6343196582181189,0.00042298056958967663,-16.2446329663,-2.3426440149728507e6,144210.3382595802
72.23,72.22,0.6337043698323406,0.00042274377644213433,-16.2604550742,-2.3444398108215355e6,144180.45498255405
72.24,72.23,0.6330896801464154,0.00042250712395127825,-16.2762925041,-2.3462369113725256e6,144150.57426508577
72.25,72.24,0.6324755885744424,0.00042227061203044985,-16.2921452709,-2.3480353175903247e6,144120.69611141
72.26,72.25,0.6318620945311024,0.0004220342405845456,-16.3080133893,-2.349835030448182e6,144090.82052814314
72.27,72.26,0.6312491974316562,0.0004217980095239999,-16.3238968742,-2.3516360509091374e6,144060.94751957848
72.28,72.27,0.6306368966919397,0.0004215619187567548,-16.3397957406,-2.353438379947353e6,144031.07708988624
72.29,72.28,0.6300251917283691,0.00042132596819186035,-16.3557100031,-2.3552420185306007e6,144001.20924644647
72.3,72.29,0.6294140819579365,0.0004210901577385045,-16.3716396769,-2.3570469676305475e6,143971.34399166418
72.31,72.3,0.6288035667982078,0.000420854487306983,-16.3875847767,-2.358853228218712e6,143941.48133241382
72.32,72.31,0.6281936456673313,0.00042061895680316154,-16.4035453175,-2.3606608012680477e6,143911.62127309115
72.33,72.32,0.627584317984024,0.00042038356613899715,-16.4195213142,-2.362469687752557e6,143881.7638191094
72.34,72.33,0.6269755831675802,0.00042014831522201675,-16.4355127818,-2.364279888644484e6,143851.9089749721
72.35,72.34,0.6263674406378694,0.00041991320396182383,-16.4515197353,-2.366091404922624e6,143822.0567456577
72.36,72.35,0.6257598898153309,0.00041967823226857567,-16.4675421896,-2.3679042375596203e6,143792.20713671888
72.37,72.36,0.6251529301209805,0.00041944340005049124,-16.4835801597,-2.369718387532929e6,143762.36015319973
72.38,72.37,0.6245465609764073,0.0004192087072163437,-16.4996336607,-2.371533855819225e6,143732.51579930002
72.39,72.38,0.6239407818037653,0.0004189741536786435,-16.5157027075,-2.3733506433990365e6,143702.67408127093
72.4,72.39,0.6233355920257881,0.000418739739344402,-16.5317873152,-2.3751687512480076e6,143672.83500339862
72.41,72.4,0.6227309910657757,0.00041850546412297015,-16.5478874989,-2.3769881803506613e6,143642.99857058303
72.42,72.41,0.6221269783475962,0.00041827132792724954,-16.5640032736,-2.37880893168198e6,143613.16478809004
72.43,72.42,0.6215235532956935,0.000418037330662791,-16.5801346543,-2.3806310062277643e6,143583.33366191064
72.44,72.43,0.6209207153350724,0.00041780347224127436,-16.5962816563,-2.3824544049692824e6,143553.50519523723
72.45,72.44,0.6203184638913144,0.0004175697525729956,-16.6124442946,-2.38427912888865e6,143523.67939398767
72.46,72.45,0.6197167983905607,0.00041733617156714263,-16.6286225844,-2.386105178968937e6,143493.8562624809
72.47,72.46,0.619115718259524,0.0004171027291356725,-16.6448165407,-2.387932556197053e6,143464.0358070674
72.48,72.47,0.6185152229254833,0.0004168694251872197,-16.6610261788,-2.38976126155454e6,143434.21803126062
72.49,72.48,0.6179153118162853,0.0004166362596298649,-16.6772515138,-2.391591296032951e6,143404.40294097443
72.5,72.49,0.6173159843603387,0.000416403232377226,-16.6934925608,-2.3934226606172817e6,143374.59054179984
72.51,72.5,0.6167172399866184,0.0004161703433379376,-16.7097493352,-2.39525535629242e6,143344.78083681862
72.52,72.51,0.6161190781246634,0.000415937592422849,-16.7260218521,-2.3970893840499185e6,143314.97383216422
72.53,72.52,0.6155214982045784,0.0004157049795422561,-16.7423101266,-2.3989247448781505e6,143285.16953384856
72.54,72.53,0.6149244996570271,0.000415472504607008,-16.7586141742,-2.4007614397684536e6,143255.36794471001
72.55,72.54,0.6143280819132428,0.0004152401675268468,-16.77493401,-2.402599469708893e6,143225.56907089098
72.56,72.55,0.6137322444050116,0.0004150079682131755,-16.7912696493,-2.4044388356965836e6,143195.77291743516
72.57,72.56,0.613136986564691,0.00041477590657502657,-16.8076211075,-2.4062795387199763e6,143165.97948809253
72.58,72.57,0.6125423078251911,0.0004145439825251011,-16.8239883997,-2.40812157977311e6,143136.18878957685
72.59,72.58,0.6119482076199858,0.000414312195974058,-16.8403715413,-2.409964959851142e6,143106.4008261841
72.6,72.59,0.6113546853831116,0.0004140805468305836,-16.8567705477,-2.4118096799489623e6,143076.61560227137
72.61,72.6,0.6107617405491564,0.00041384903500999186,-16.8731854342,-2.4136557410621597e6,143046.83312316108
72.62,72.61,0.6101693725532766,0.00041361766041894454,-16.8896162162,-2.41550314418701e6,143017.05339344146
72.63,72.62,0.6095775808311819,0.00041338642296950216,-16.906062909,-2.417351890321681e6,142987.2764187335
72.64,72.63,0.6089863648191359,0.00041315532257445246,-16.9225255281,-2.4192019804657293e6,142957.50220312114
72.65,72.64,0.6083957239539635,0.00041292435914492154,-16.9390040887,-2.421053415614321e6,142927.73075303785
72.66,72.65,0.6078056576730496,0.00041269353258843635,-16.9554986065,-2.4229061967731575e6,142897.96207139085
72.67,72.66,0.6072161654143244,0.00041246284282304475,-16.9720090967,-2.424760324938732e6,142868.19616483693
72.68,72.67,0.6066272466162854,0.0004122322897535052,-16.9885355749,-2.426615801113173e6,142838.43303706634
72.69,72.68,0.6060389007179767,0.0004120018732937126,-17.0050780565,-2.428472626299768e6,142808.67269359648
72.7,72.69,0.605451127158999,0.00041177159335728503,-17.021636557,-2.4303308015007526e6,142778.9151391145
72.71,72.7,0.6048639253795081,0.0004115414498523031,-17.038211092,-2.43219032772295e6,142749.16037781356
72.72,72.71,0.6042772948202096,0.0004113114426937,-17.0548016768,-2.434051205966099e6,142719.40841605855
72.73,72.72,0.6036912349223637,0.0004110815717911485,-17.071408327,-2.4359134372395603e6,142689.65925833661
72.74,72.73,0.6031057451277848,0.0004108518370566746,-17.0880310582,-2.4377770225502998e6,142659.91290907026
