LE,HLE,param1,param2,dHLE,WTP,WTP_1y
72.0,70.0,0.07830654333222753,0.11866002759463458,418.2430184016,5.786653839097225e6,13835.62566378774
73.0,70.0,0.08048552223061191,0.09991043905837621,377.7202264359,1.0484272979775589e7,27756.715807102257
74.0,70.0,0.0827990876122038,0.08811992017321066,341.7894883405,1.570537737037389e7,45950.439981722804
75.0,70.0,0.08526285741013512,0.07965430158157588,309.3576669799,2.106548637212526e7,68094.27604551322
76.0,70.0,0.08789496102193256,0.07308129482311258,279.7890756504,2.654912058836543e7,94889.76839660063
77.0,70.0,0.09071657006709284,0.06770072166539434,252.6696290723,3.1883913270346504e7,126188.15085695598
78.0,70.0,0.09375259183397384,0.06312007751155033,227.7057835888,3.690550707674426e7,162075.40491544854
79.0,70.0,0.09703253712518256,0.05909584007600153,204.6966597358,4.145213274432179e7,202505.17423109716
80.0,70.0,0.1005916938307315,0.05546295334692304,183.4377838227,4.5350151318659514e7,247223.61104456134
81.0,70.0,0.10447261531724421,0.05209859989746954,163.8251116228,4.83951256738833e7,295407.24980740994
82.0,70.0,0.1087271959127716,0.04889971862345012,145.7384024301,5.032073624532243e7,345281.2395789613
83.0,70.0,0.11341945425679179,0.0457634057202003,129.0895447606,5.073672202796706e7,393035.0991790982
84.0,70.0,0.11862945979398211,0.04255728025885053,113.8163429955,4.8977048808130145e7,430316.48635966604
85.0,70.0,0.12445888695447657,0.03903616560880326,99.9099476951,4.359940500490465e7,436387.0266248067
86.0,70.0,0.13103918969947984,0.034302082233141094,87.626607292,2.910223886217345e7,332116.46281357715
87.0,70.0,0.13854386673845348,NaN,NaN,NaN,NaN
88.0,70.0,0.1472075599687115,NaN,NaN,NaN,NaN
89.0,70.0,0.1573569692421161,NaN,NaN,NaN,NaN
90.0,70.0,0.16946330227078477,NaN,NaN,NaN,NaN
91.0,70.0,0.18423656007378927,NaN,NaN,NaN,NaN
92.0,70.0,0.20280785045800861,NaN,NaN,NaN,NaN
93.0,70.0,0.22711669080954483,NaN,NaN,NaN,NaN
94.0,70.0,0.2608468358242668,NaN,NaN,NaN,NaN
95.0,70.0,0.31215219477818706,NaN,NaN,NaN,NaN
96.0,70.0,0.4044407960196516,NaN,NaN,NaN,NaN
97.0,70.0,0.6587202118974661,NaN,NaN,NaN,NaN
70.0,71.0,0.0742999538610056,NaN,NaN,NaN,NaN
71.0,71.0,0.07624861731878946,NaN,NaN,NaN,NaN
72.0,71.0,0.07830654333222753,0.1635616001067975,439.9138431822,1.8890371429677405e6,4294.1070671998705
73.0,71.0,0.08048552223061191,0.12198108288260577,393.7264111163,5.464800728497609e6,13879.690501340028
74.0,71.0,0.0827990876122038,0.10255167358666717,354.3010790867,9.938411243450925e6,28050.750703525024
75.0,71.0,0.08526285741013512,0.09038706439477866,319.4078741757,1.494500193018502e7,46789.71039381474
76.0,71.0,0.08789496102193256,0.08168785119778574,287.9761022058,2.011837658620114e7,69861.27123779073
77.0,71.0,0.09071657006709284,0.07495990105983528,259.3798616196,2.5451372332994543e7,98123.93365496081
78.0,71.0,0.09375259183397384,0.06947455242423563,233.2075693971,3.0684980151949033e7,131577.9767838471
79.0,71.0,0.09703253712518256,0.06482477849804946,209.1677969337,3.566736682116088e7,170520.3542037897
80.0,71.0,0.1005916938307315,0.060759537635187724,187.0632732602,4.025283122427593e7,215182.97270616732
81.0,71.0,0.10447261531724421,0.05711061920999133,166.7004080761,4.429007429082623e7,265686.65789112815
82.0,71.0,0.1087271959127716,0.05375559601033504,147.9498359915,4.760819354622289e7,321786.05151652935
83.0,71.0,0.11341945425679179,0.05059605265605115,130.6971777308,4.9995577529674456e7,382529.893894507
84.0,71.0,0.11862945979398211,0.04754120642469029,114.846419298,5.116159374833567e7,445478.35327441175
85.0,71.0,0.12445888695447657,0.044488780340154126,100.3198425147,5.065368112162522e7,504921.8564533021
86.0,71.0,0.13103918969947984,0.04128587591467172,87.0652376274,4.763360500378697e7,547102.4521593492
87.0,71.0,0.13854386673845348,0.03758457587152744,75.098188556,3.9996369396843255e7,532587.6717654561
88.0,71.0,0.1472075599687115,NaN,NaN,NaN,NaN
89.0,71.0,0.1573569692421161,NaN,NaN,NaN,NaN
90.0,71.0,0.16946330227078477,NaN,NaN,NaN,NaN
91.0,71.0,0.18423656007378927,NaN,NaN,NaN,NaN
92.0,71.0,0.20280785045800861,NaN,NaN,NaN,NaN
93.0,71.0,0.22711669080954483,NaN,NaN,NaN,NaN
94.0,71.0,0.2608468358242668,NaN,NaN,NaN,NaN
95.0,71.0,0.31215219477818706,NaN,NaN,NaN,NaN
96.0,71.0,0.4044407960196516,NaN,NaN,NaN,NaN
97.0,71.0,0.6587202118974661,NaN,NaN,NaN,NaN
70.0,72.0,0.0742999538610056,NaN,NaN,NaN,NaN
71.0,72.0,0.07624861731878946,NaN,NaN,NaN,NaN
72.0,72.0,0.07830654333222753,NaN,NaN,NaN,NaN
73.0,72.0,0.08048552223061191,0.16887819088495315,414.4505606542,1.774057954055349e6,4280.505619910472
74.0,72.0,0.0827990876122038,0.12549131608865427,369.5264757035,5.152293372690858e6,13942.96136124478
75.0,72.0,0.08526285741013512,0.10533273534532707,331.2391035742,9.402169079222504e6,28384.840369900197
76.0,72.0,0.08789496102193256,0.09276585487164192,297.4213220016,1.418934930640946e7,47707.90880397313
77.0,72.0,0.09071657006709284,0.08381425135025132,267.0255616478,1.9267183242450237e7,72154.82713922036
78.0,72.0,0.09375259183397384,0.07691750954269434,239.4339375818,2.433452355747658e7,101633.5604018664
79.0,72.0,0.09703253712518256,0.0713163236194189,214.2562969116,2.94468455311516e7,137437.48004429048
80.0,72.0,0.1005916938307315,0.06658779751013227,191.1755225425,3.436299077996484e7,179745.7662098224
81.0,72.0,0.10447261531724421,0.062472414512504966,170.0009876737,3.895089708292965e7,229121.5928562252
82.0,72.0,0.1087271959127716,0.05879782087876308,150.5542181322,4.307752140268202e7,286126.30012701557
83.0,72.0,0.11341945425679179,0.055440671711273926,132.6959024727,4.659818482557945e7,351165.2127703511
84.0,72.0,0.11862945979398211,0.05230498199667149,116.3085944038,4.9341814614766e7,424231.88817381085
85.0,72.0,0.12445888695447657,0.04930735288101498,101.2919599617,5.108644597698271e7,504348.47934919276
86.0,72.0,0.13103918969947984,0.046363010366276984,87.5601024382,5.151138849304396e7,588297.4900514848
87.0,72.0,0.13854386673845348,0.04336426300433236,75.0429541326,5.008583534757431e7,667428.8869155289
88.0,72.0,0.1472075599687115,0.04012454017779165,63.6967877248,4.573453958420371e7,718003.8620126086
89.0,72.0,0.1573569692421161,0.0361049503825657,53.5690444156,3.517399310996796e7,656610.4266688178
90.0,72.0,0.16946330227078477,NaN,NaN,NaN,NaN
91.0,72.0,0.18423656007378927,NaN,NaN,NaN,NaN
92.0,72.0,0.20280785045800861,NaN,NaN,NaN,NaN
93.0,72.0,0.22711669080954483,NaN,NaN,NaN,NaN
94.0,72.0,0.2608468358242668,NaN,NaN,NaN,NaN
95.0,72.0,0.31215219477818706,NaN,NaN,NaN,NaN
96.0,72.0,0.4044407960196516,NaN,NaN,NaN,NaN
97.0,72.0,0.6587202118974661,NaN,NaN,NaN,NaN
70.0,73.0,0.0742999538610056,NaN,NaN,NaN,NaN
71.0,73.0,0.07624861731878946,NaN,NaN,NaN,NaN
72.0,73.0,0.07830654333222753,NaN,NaN,NaN,NaN
73.0,73.0,0.08048552223061191,NaN,NaN,NaN,NaN
74.0,73.0,0.0827990876122038,0.17454117208857794,389.3074381242,1.6634616777004108e6,4272.874121582337
75.0,73.0,0.08526285741013512,0.12921031515587061,345.6906107365,4.849329167754844e6,14027.945848524094
76.0,73.0,0.08789496102193256,0.10826839654416051,308.5815253992,8.876613223684447e6,28765.860860273842
77.0,73.0,0.09071657006709284,0.0952684468491988,275.8765178234,1.3440537977823166e7,48719.39838832899
78.0,73.0,0.09375259183397384,0.08604397697863006,246.5496686637,1.8312404850833885e7,74274.70882474586
79.0,73.0,0.09703253712518256,0.07896348863706039,220.0159001722,2.320318776751648e7,105461.41324038865
80.0,73.0,0.1005916938307315,0.07323462120679948,195.8287634647,2.817591052912208e7,143880.34745570488
81.0,73.0,0.10447261531724421,0.06841728372659377,173.7457932486,3.300123692782177e7,189939.77529345267
82.0,73.0,0.1087271959127716,0.06424249091803326,153.5377737686,3.755888209805108e7,244623.07337252953
83.0,73.0,0.11341945425679179,0.060532853197460657,135.033997827,4.17309186419487e7,309040.08852209675
84.0,73.0,0.11862945979398211,0.05716307388597238,118.0937548216,4.539347686737113e7,384385.0755354966
85.0,73.0,0.12445888695447657,0.054037994934190994,102.5980275008,4.84061590384036e7,471803.9928986564
86.0,73.0,0.13103918969947984,0.051078584389866365,88.4438449153,5.05958490837999e7,572067.498108591
87.0,73.0,0.13854386673845348,0.04821058315512201,75.541480988,5.172788495066721e7,684761.3294592985
88.0,73.0,0.1472075599687115,0.04535086478975554,63.8136460105,5.144633479582091e7,806196.4487557386
89.0,73.0,0.1573569692421161,0.0423809834717342,53.1977145648,4.912465220460482e7,923435.3882771826
